EmployeeID,EmployeeName,Department,Location,HireDate
1,Ijaya Sen,Marketing,Nizamabad,2024-07-05
2,Hiral Badami,Sales,Miryalaguda,2022-09-03
3,Alexander Bedi,Sales,Ambala,2023-05-13
4,Mitesh Chauhan,IT,Bhagalpur,2026-02-23
5,Varenya Konda,Sales,Panchkula,2023-03-27
6,Panini Gill,Operations,Solapur,2024-12-18
7,Yashoda Virk,Finance,Bharatpur,2026-05-06
8,Hemani Narula,IT,Ambarnath,2023-03-16
9,Omisha Bhattacharyya,IT,Shimla,2026-05-24
10,Vincent Chaudhari,HR,Kirari Suleman Nagar,2025-11-20
11,Rudra Lal,Customer Support,Guna,2023-02-08
12,Kavya Singh,Customer Support,Bidar,2024-03-18
13,Daksha Lanka,Operations,Rourkela,2022-12-26
14,Yatin Ahuja,HR,Pallavaram,2022-11-26
15,Warinder Kumer,IT,Kozhikode,2022-08-04
16,Nidhi Bedi,HR,Madhyamgram,2024-01-28
17,Lohit Verma,Customer Support,Sangli-Miraj & Kupwad,2025-04-09
18,Nathaniel Vora,Customer Support,Muzaffarnagar,2023-04-04
19,Odika Choudhary,Sales,Naihati,2025-06-27
20,Lucky Deep,Sales,Salem,2023-08-06
21,Mitali Borde,IT,Patna,2024-09-09
22,Nisha Bakshi,Marketing,Proddatur,2023-11-13
23,Anthony Iyer,Customer Support,Saharanpur,2023-12-18
24,Bishakha Kale,Finance,Alappuzha,2022-06-09
25,Tamanna Bahri,IT,Raurkela Industrial Township,2023-07-24
26,Laban Ratti,HR,South Dumdum,2023-06-19
27,Krisha Khurana,Finance,Junagadh,2021-12-18
28,Qadim Singh,Marketing,Raipur,2026-05-15
29,Benjamin Ray,Operations,Ludhiana,2025-04-18
30,Harinakshi Goda,Finance,Durgapur,2021-08-03
31,Shivani Sibal,IT,Naihati,2024-11-18
32,Warhi Sur,Operations,Kadapa,2025-08-04
33,Faraj Jain,Customer Support,Moradabad,2022-02-07
34,Yashawini Vyas,IT,Nizamabad,2023-10-04
35,Tanish Mishra,HR,Tenali,2026-02-06
36,Dalaja Pandey,IT,Saharanpur,2025-11-24
37,Jhalak Rai,Sales,Kamarhati,2022-06-06
38,Nandini Kulkarni,Customer Support,Srinagar,2025-07-28
39,Qasim Lall,Operations,Karaikudi,2021-09-15
40,Darsh Doctor,Finance,Amravati,2026-05-17
41,Vritti Loyal,Operations,Dhule,2025-05-13
42,Geetika Sawhney,HR,Bidar,2026-04-27
43,Pranit Hans,Sales,Sangli-Miraj & Kupwad,2025-04-08
44,Frederick Nazareth,Sales,Durgapur,2024-02-09
45,Sneha Vasa,Operations,Aizawl,2023-04-23
46,Daniel Sachar,Operations,Warangal,2022-04-04
47,Varsha Deshmukh,Marketing,Bihar Sharif,2021-11-19
48,Liam Suri,Finance,Amaravati,2022-11-13
49,Jairaj Choudhury,Operations,Allahabad,2022-01-05
50,Tejas Barman,HR,Korba,2022-08-02
51,Kevin Soni,Operations,Ratlam,2025-07-24
52,Gunbir Dasgupta,Operations,Karaikudi,2023-06-14
53,Falguni Dua,HR,Bikaner,2022-03-13
54,Omya Verma,Sales,Bhatpara,2022-08-11
55,Vidhi Tak,Customer Support,Moradabad,2022-05-18
56,Manthan Mammen,Sales,Dindigul,2023-02-24
57,Christopher Seshadri,Marketing,Jalandhar,2025-08-29
58,Aadhya Chandra,Customer Support,Madurai,2022-12-15
59,Yashodhara Tella,Customer Support,Katihar,2025-01-17
60,Gayathri Misra,Sales,Indore,2023-04-13
61,Indira Saran,Finance,Nanded,2024-12-13
62,Advik Saxena,IT,Kota,2026-04-24
63,Laksh Sood,Customer Support,Korba,2022-10-13
64,Ishwar Yohannan,Customer Support,Motihari,2025-07-31
65,Daksh Dayal,Marketing,Kamarhati,2022-02-02
66,Gunbir Sethi,HR,Eluru,2023-10-02
67,Faraj Bawa,Sales,Srikakulam,2022-06-17
68,Vasudha Hayre,Operations,Morena,2026-04-23
69,Nirja Viswanathan,Finance,Surendranagar Dudhrej,2024-07-28
70,Warda Kapadia,Marketing,Baranagar,2026-03-17
71,Maya Sundaram,Finance,Amritsar,2022-02-14
72,Bhavna Sidhu,IT,Nadiad,2023-11-18
73,Rushil Upadhyay,Sales,Firozabad,2022-05-31
74,Lucky Morar,Customer Support,Vijayanagaram,2022-06-12
75,Laksh Madan,Customer Support,Kumbakonam,2026-01-13
76,Henry Nagarajan,Marketing,Panihati,2023-09-08
77,Jai Kari,IT,Malegaon,2022-04-28
78,Dev Walla,HR,Satara,2022-01-06
79,Janaki Sinha,Operations,Chinsurah,2022-09-21
80,Henry Chopra,HR,Kakinada,2022-06-02
81,Ganga Pai,Marketing,Karawal Nagar,2025-06-28
82,Raghav Chopra,IT,Orai,2022-01-14
83,Mitesh Tata,Sales,Bhatpara,2021-09-15
84,Zayyan Chopra,Finance,Patna,2025-01-18
85,Anya Koshy,HR,Satara,2022-05-01
86,Rohan Nadig,Sales,Gangtok,2021-06-25
87,Kevin Maharaj,Sales,Madanapalle,2021-08-01
88,Brinda Sen,Finance,Guwahati,2024-04-28
89,Bhanumati Mane,Marketing,Vijayanagaram,2021-07-17
90,Oeshi Rajan,HR,Patna,2025-11-17
91,Gayathri Mistry,Marketing,Bulandshahr,2024-09-06
92,Nikita Bali,Sales,Tiruppur,2026-01-10
93,Zaitra Parikh,Operations,Ambala,2024-10-16
94,Chavvi Oak,Finance,Raiganj,2022-11-16
95,Oliver Chokshi,Finance,Jalandhar,2025-03-07
96,Nachiket Puri,Finance,Sangli-Miraj & Kupwad,2024-04-17
97,Azaan Arya,Operations,Sambalpur,2022-10-31
98,Nitara Date,Customer Support,Mumbai,2025-01-04
99,Varenya Memon,HR,Pali,2021-10-16
100,Chavvi Varghese,HR,Amaravati,2022-12-29
101,Frado Thaker,IT,Muzaffarpur,2021-11-03
102,Udant Randhawa,HR,Karimnagar,2022-05-09
103,Ikbal Dayal,Sales,Raebareli,2025-08-18
104,Ryan Nadig,Customer Support,Ranchi,2023-11-15
105,Madhavi Sha,Marketing,Saharanpur,2022-05-28
106,Adweta Pal,Customer Support,North Dumdum,2024-04-28
107,Madhavi Wali,Finance,Gulbarga,2023-08-12
108,Balhaar Dave,Customer Support,Bidhannagar,2025-03-31
109,Faraj Pillay,IT,Morbi,2026-04-02
110,Jeremiah Dhawan,IT,Giridih,2025-07-03
111,Veda Karnik,Finance,Rewa,2025-03-19
112,Ishani Parikh,Sales,Anand,2023-10-29
113,Harini Bose,Sales,Ramagundam,2026-04-16
114,Bina Deo,Sales,Uluberia,2024-11-03
115,Lopa Grewal,Marketing,Bhalswa Jahangir Pur,2026-04-15
116,Ira Dhar,IT,Sangli-Miraj & Kupwad,2022-03-10
117,Hritik Bhardwaj,Finance,Amroha,2026-01-19
118,Yahvi Sura,HR,Silchar,2025-11-26
119,Nihal Nigam,Customer Support,Imphal,2023-04-02
120,Hiral Ahuja,Marketing,Gandhinagar,2021-06-13
121,Gopal Pai,Finance,Yamunanagar,2023-02-27
122,Harita Mistry,HR,Bidhannagar,2022-07-12
123,Chakradhar Sengupta,IT,Kharagpur,2021-08-22
124,Jeremiah Chander,Operations,Kollam,2026-03-15
125,Ridhi Mangat,Finance,Ludhiana,2025-10-03
126,Ridhi Goswami,Sales,Kakinada,2025-06-04
127,Jackson Guha,Customer Support,Fatehpur,2026-03-27
128,Aradhana Munshi,Marketing,Thoothukudi,2023-12-23
129,Ranbir Wali,Operations,Tirunelveli,2025-03-22
130,Chanchal Mahajan,Customer Support,Machilipatnam,2023-05-05
131,Anita Manda,Marketing,Ulhasnagar,2022-10-06
132,Ranbir Kannan,Operations,Bokaro,2024-01-22
133,Yoshita Desai,Sales,Panvel,2025-08-24
134,Harsh Yohannan,Marketing,Rewa,2021-11-17
135,Lakshit Tata,HR,Latur,2023-03-07
136,Omisha Deshpande,Sales,Suryapet,2023-09-30
137,Avi Narula,HR,Guntur,2023-11-06
138,Girik Bhalla,Operations,Jalgaon,2022-08-13
139,Kalpit Mani,Finance,Howrah,2023-03-05
140,Sara Banik,IT,Gaya,2026-02-16
141,Chakrika Bora,Sales,Barasat,2024-09-28
142,Gaurangi Balay,IT,Proddatur,2025-06-03
143,Karan Radhakrishnan,Customer Support,Surendranagar Dudhrej,2023-05-22
144,Eshana Chana,Customer Support,Kota,2021-08-09
145,Amaira Rajagopal,HR,Ghaziabad,2023-07-14
146,Anay Loyal,Operations,Vellore,2025-06-13
147,Jai Wali,Marketing,Belgaum,2023-05-17
148,Anmol Ganesan,Marketing,Jamnagar,2025-11-22
149,Pooja Sehgal,Operations,Jaipur,2024-09-11
150,Isaac Lala,HR,Narasaraopet,2022-11-04
151,Lucky Suri,IT,Saharanpur,2024-07-29
152,Sara Trivedi,Finance,Anand,2024-11-28
153,Forum Bava,Operations,Alappuzha,2021-10-22
154,Ekavir Bala,Customer Support,Warangal,2025-04-10
155,Chandresh Bava,Customer Support,Erode,2021-12-09
156,Harrison Joshi,Customer Support,Tirupati,2024-05-26
157,Zashil Solanki,HR,Kolkata,2025-06-10
158,Indali Chahal,Sales,Tumkur,2023-05-30
159,Ayaan Dutta,Customer Support,Mahbubnagar,2024-10-31
160,Gaurang Kala,Customer Support,Dhanbad,2023-09-15
161,Laksh Nagi,Finance,Mysore,2023-11-16
162,Anya Balan,Operations,Purnia,2021-11-21
163,Divya Pandit,Finance,Nanded,2025-09-26
164,Brinda Sundaram,Operations,Bhilai,2021-08-27
165,Krisha Som,IT,Dindigul,2025-11-18
166,Lajita Banerjee,HR,Ulhasnagar,2025-02-17
167,Amaira Thaker,Marketing,Gwalior,2022-01-27
168,Rohan Saini,Finance,Patna,2021-07-13
169,Quincy Bhatti,Sales,Nellore,2022-03-22
170,Mitesh Kibe,Customer Support,Srikakulam,2026-03-04
171,Samarth Anne,Operations,Panipat,2026-03-20
172,Yashvi Parmar,Operations,Kakinada,2025-01-22
173,Ayushman Srivastava,IT,Kadapa,2023-10-14
174,Amol Dani,IT,Hajipur,2021-06-08
175,Varenya Bobal,Customer Support,Agra,2025-03-30
176,Anya Balay,Finance,Ambala,2022-03-17
177,Arjun Randhawa,Sales,Ichalkaranji,2022-03-10
